path,category
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-4724934324518912.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5148362265329664.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-4876028589637632.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5949241595789312.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5963713488093184.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5252192025968640.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6442573887438848.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6259737666519040.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6235170453585920.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6408266225549312.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5743257380192256.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5088548537499648.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5979344484696064.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-4805813122105344.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5755685136498688.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6689741202259968.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6404297138896896.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5156937704407040.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-6610210219098112.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/004Animal_Domestic animals_ pets_Dog_Bark-5841347185475584.wav,DogBark
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-6567071567577088.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5396616743747584.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5791148144590848.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5071437253574656.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5451093572059136.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6084669565042688.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5428113886412800.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6284439365615616.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5480198954811392.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5904449381859328.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-4796462844084224.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5657230527430656.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6682072806588416.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5154698147397632.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-4761918556340224.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5798829156728832.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-6228004569088000.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5653555377602560.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-6590135273521152.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-4800147791806464.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-4853368610619392.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6507225224839168.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-4526486702784512.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5659822271758336.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-4782118592839680.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-4997808897654784.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5697423099822080.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6195407646359552.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5108026616840192.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-6318985666625536.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5148883030114304.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5186473120759808.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-4811888353345536.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-4773498861912064.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/048Human sounds_Human locomotion_Run-5754305646690304.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-5089586443190272.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/050Human sounds_Human locomotion_Walk_ footsteps-6542736417095680.wav,Footstep
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6211817374220288.wav,GunShot
