path,category
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5711481198870528.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5962898786484224.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4506555907047424.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5996074590273536.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4895996697903104.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6254224941776896.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5152081975443456.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4787688494333952.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6458721622294528.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5071777361297408.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5647562421829632.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5301136131096576.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4761502481383424.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6212303645048832.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6127453479108608.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6702586644135936.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 6208500451508224.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 5506136664965120.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4917477037309952.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/dog barking - 4743596225855488.wav,DogBark
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5949084024176640.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5983944126234624.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 4908146623512576.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5297359244230656.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5396910143700992.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5866223904489472.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 6060786594086912.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/gunshots - 6508673702559744.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 5745237494333440.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/gunshots - 4588569918177280.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/gunshots - 6281264311042048.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 4866257673256960.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/machine gun - 6392816422879232.wav,GunShot
VocalSketchDataSet-1.1.2/interactiveaudiolab-VocalSketchDataSet-6c9f381/vocal_imitations/included/gunshots - 5384428968738816.wav,GunShot
